Unnamed: 0,Star_name,Distance,Mass,Radius,radius,Gravity
112,2MASS J00584253-0651239 [de],30,29,1.43,1.43,3889.581731
113,CFBDS J005910.90–011401.3,70,23,,1.18,4530.44435
114,2MASSI J0103320+193536,51,52,0.98,0.98,14850.05872
115,SDSSp J010752.33+004156.1 [de],163,52,0.98,0.98,14850.05872
116,2MASSI J0117474-340325 [de],130,20,1.62,1.62,2090.14755
117,2MASS J01415823-4633574 [de],70,20,1.61,1.61,2116.192751
118,SDSS J015141.69+124429.6,65,47,0.97,0.97,13700.34073
119,DENIS-P J020529.0−115925A,65,30,,1.18,5909.27524
120,DENIS-P J020529.0−115925B,65,30,,1.18,5909.27524
121,DENIS-P J020529.0−115925C,111,30,,1.18,5909.27524
122,SDSS J020742.48+000056.2 [de],101,47,0.97,0.97,13700.34073
123,2MASS J02103857-3015313,155,15,1.53,1.53,1757.459704
124,2MASS J02340093-6442068,152,20,1.62,1.62,2090.14755
125,2MASS J02411151-0326587 [de],35,27,1.41,1.41,3724.796217
126,2MASS J02431371−2453298,53,33,0.99,0.99,9234.651901
127,LP 771-21,,78,1.08,1.08,18341.04475
128,2MASS J02511327+0047364,12.578,30,,1.18,5909.27524
129,Teegarden's star,184,80,1.27,1.27,13603.77762
130,2MASS J02535980+3206373,24,65,1.9,1.9,4938.364403
131,WISE J0254+0223,16.2,65,1.9,1.9,4938.364403
132,DEN 0255-4700,45,80,0.97,0.97,23319.72889
133,2MASS J03185403-3421292 [de],47,49,0.97,0.97,14283.33395
134,2MASS J03205965+1854233,192,88,1.15,1.15,18250.04628
135,2MASS J03231002-4631237,59,23,1.66,1.66,2289.225836
136,SDSS J032553.17+042540.1,80,45,0.95,0.95,13675.47065
137,2MASS J03264225-2102057 [de],98,18,1.3,1.3,2921.210004
138,2MASS J03284265+2302051 [de],27,54,0.98,0.98,15421.21483
139,2MASS J03341218-4953322,20.9,73,1.04,1.04,18511.13978
140,LP 944-20,88,73,1.43,1.43,9791.016082
141,2MASP J0345432+254023,380,74,1.05,1.05,18408.99587
142,Teide 1,48,55,3.78,3.78,1055.737793
143,2MASS J03510004-0052452,29.8,102,1.27,1.27,17344.81646
144,2MASS J03552337+1133437,130,20,1.32,1.32,3148.176784
145,DENIS-P J035726.9-441730 [de],18.6,30,,1.18,5909.27524
146,2MASS J04151954−0935066,50,30,0.95,0.95,9116.980436
147,SDSSp J042348.57-041403.5 [de],85,30,,1.18,5909.27524
148,2MASS J04285096-2253227 [de],34,80,1.09,1.09,18467.74928
149,2MASS J04351612-1606574,142,100,1.26,1.26,17275.70934
150,2MASS J04362788-4114465,29.5,39,1.97,1.97,2756.189878
151,2MASS J04390101-2353083 [de],470,48,0.97,0.97,13991.83734
152,2MASS J04414489+2301513,82,19,,1.18,3742.540985
153,2MASS J04433764+0002040,42,22,1.78,1.78,1904.406499
154,2MASS J04455387-3048204 [de],69,64,1,1,17553.22633
155,2MASS J04510093-3402150 [de],44,1.04,72,72,0.055023134
156,2MASS J05002100+0330501 [de],64,64,1,1,17553.22633
157,2MASS J05012406-0010452 [de],73,21,1.38,1.38,3024.39214
158,2MASS J05160945-0445499 [de],40,47,0.97,0.97,13700.34073
159,2MASS J0523−1403,81,68,1.01,1.01,18282.81833
160,2MASS 0532+8246,41.62,83,,1.18,16348.99483
161,SDSS J053951.99-005902.0,34,61,1.01,1.01,16400.7635
162,2MASS J05591914-1404488 [de],34.6,30,,1.18,5909.27524
163,LSR 0602+3910 [de],102,28,1.41,1.41,3862.751633
164,2MASS J06085283-2753583,69,38,1.51,1.51,4570.952211
165,WISEP J061135.13-041024.0A,69,65,,1.18,12803.42969
166,WISEP J061135.13-041024.0B,39,53,,1.18,10439.71959
167,2MASS J06244595-4521548 [de],65,56,0.99,0.99,15670.92444
168,2MASS J06411840-4322329 [de],51,67,1.01,1.01,18013.95336
169,DENIS-P J0652197-253450 [de],40,75,1.05,1.05,18657.76609
170,2MASS J07003664+3157266 [de],60,30,,1.18,5909.27524
171,2MASS J07075327-4900503,13.4,72,1.03,1.03,18613.79925
172,UGPS J072227.51-054031.2,29.6,26,0.98,0.98,7425.029361
173,2MASSI J0727182+171001 [de],25.8,41,0.94,0.94,12726.38708
174,2MASS J07290002-3954043 [de],49,37,0.94,0.94,11484.78834
175,SDSS J074201.41+205520.5 [de],49.6,43,0.94,0.94,13347.18644
176,2MASS J0746425+200032 [fr],55,30,,1.18,5909.27524
177,DENIS-P J0751164-253043 [de],60,71,1.03,1.03,18355.27426
178,2MASS J07522390+1612157,16.1,2.01,68,68,0.119221673
179,DENIS J081730.0-615520,67,44,0.94,0.94,13657.58613
180,DENIS J082303.1−491201A,67,44,,1.18,8666.937018
181,DENIS J082303.1−491201B,35,28,,1.18,5515.323557
182,2MASS J08251968+2115521 [de],43,52,0.98,0.98,14850.05872
183,SDSSp J083008.12+482847.4 [de],55,48,0.99,0.99,13432.22095
184,LHS 2021,77,88,1.15,1.15,18250.04628
185,SDSS J083048.80+012831.1 [de],23.53,46,0.96,0.96,13689.64999
186,2MASSI J0835425-081923 [de],43,62,1,1,17004.68801
187,2MASSI J0847287-153237 [de],27.6,64,1,1,17553.22633
188,2MASS J08533619-0329321,50,77,1.07,1.07,18445.91268
189,2MASSI J0859254-194926 [de],95,50,0.98,0.98,14278.90262
190,2MASSW J0920122+351742 [de],20,30,,1.18,5909.27524
191,2MASSI J0937347+293142,17.4,42,0.94,0.94,13036.78676
192,2MASS 0939−2448,59,32,0.95,0.95,9724.779132
193,2MASS J09490860-1545485 [de],46,49,0.96,0.96,14582.45325
194,2MASS J10073369-4555147,55,44,0.94,0.94,13657.58613
195,2MASSI J1010148-040649 [de],108,51,0.98,0.98,14564.48067
196,2MASSI J1017075+130839 [de],95,30,,1.18,5909.27524
197,SDSS J102109.69-030420.1,60,30,,1.18,5909.27524
